model,selection_policy,double_budget,n_rows,mean_abs_spearman_higher,mean_top1pct_recall_at_100,mean_pair_coverage
additive_all_singles,none,0,11,0.3421649365689778,0.07601673487192456,0.0
additive_plus_plm_ensemble,singles_only,0,11,0.3473557404065862,0.07601673487192456,0.0
additive_plus_zscore:ESM3,singles_only,0,11,0.3463229828913191,0.07601673487192456,0.0
additive_plus_zscore:ProSST-2048,singles_only,0,11,0.3474135868638515,0.07601673487192456,0.0
additive_plus_zscore:S2F_MSA,singles_only,0,11,0.34875048368166994,0.07601673487192456,0.0
additive_plus_zscore:VenusREM,singles_only,0,11,0.347088057710647,0.07601673487192456,0.0
pairwise_plus_plm_ensemble,informative_pair_coverage,20,55,0.35142211181851346,0.07962189947651892,0.030070261655646788
pairwise_plus_plm_ensemble,informative_pair_coverage,50,55,0.3508216283531551,0.0804835970206809,0.0710742292810186
pairwise_plus_plm_ensemble,informative_pair_coverage,100,55,0.35128508111030327,0.07857492525251501,0.12605872956048725
pairwise_plus_plm_ensemble,random_doubles,20,55,0.34553754631435785,0.07687365999327997,0.01667725651639995
pairwise_plus_plm_ensemble,random_doubles,50,55,0.3473839806303059,0.07454992020233628,0.03971607569072882
pairwise_plus_plm_ensemble,random_doubles,100,55,0.3532485316257859,0.07116603685756938,0.08055635063469078
pairwise_plus_zscore:ESM3,informative_pair_coverage,20,55,0.3504057410024974,0.07962189947651892,0.030070261655646788
pairwise_plus_zscore:ESM3,informative_pair_coverage,50,55,0.34980086484544815,0.0804835970206809,0.0710742292810186
pairwise_plus_zscore:ESM3,informative_pair_coverage,100,55,0.3502643238194966,0.07857492525251501,0.12605872956048725
pairwise_plus_zscore:ESM3,random_doubles,20,55,0.34452206364744237,0.07687365999327997,0.01667725651639995
pairwise_plus_zscore:ESM3,random_doubles,50,55,0.34636321722548524,0.07454992020233628,0.03971607569072882
pairwise_plus_zscore:ESM3,random_doubles,100,55,0.3522277607586101,0.07116603685756938,0.08055635063469078
pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,20,55,0.35149631230447786,0.07962189947651892,0.030070261655646788
pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,50,55,0.3508914152955299,0.0804835970206809,0.0710742292810186
pairwise_plus_zscore:ProSST-2048,informative_pair_coverage,100,55,0.3513548828386694,0.07857492525251501,0.12605872956048725
pairwise_plus_zscore:ProSST-2048,random_doubles,20,55,0.34561264685687737,0.07687365999327997,0.01667725651639995
pairwise_plus_zscore:ProSST-2048,random_doubles,50,55,0.34745379122792397,0.07454992020233628,0.03971607569072882
pairwise_plus_zscore:ProSST-2048,random_doubles,100,55,0.353318326544707,0.07116603685756938,0.08055635063469078
pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,20,55,0.35283326698228235,0.07962189947651892,0.030070261655646788
pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,50,55,0.35222839503679765,0.0804835970206809,0.0710742292810186
pairwise_plus_zscore:S2F_MSA,informative_pair_coverage,100,55,0.35269186208562714,0.07857492525251501,0.12605872956048725
pairwise_plus_zscore:S2F_MSA,random_doubles,20,55,0.34694958145237514,0.07687365999327997,0.01667725651639995
pairwise_plus_zscore:S2F_MSA,random_doubles,50,55,0.34879075115964364,0.07454992020233628,0.03971607569072882
pairwise_plus_zscore:S2F_MSA,random_doubles,100,55,0.3546552871801041,0.07116603685756938,0.08055635063469078
pairwise_plus_zscore:VenusREM,informative_pair_coverage,20,55,0.351170785203451,0.07962189947651892,0.030070261655646788
pairwise_plus_zscore:VenusREM,informative_pair_coverage,50,55,0.35056589416374206,0.0804835970206809,0.0710742292810186
pairwise_plus_zscore:VenusREM,informative_pair_coverage,100,55,0.35102936697044756,0.07857492525251501,0.12605872956048725
pairwise_plus_zscore:VenusREM,random_doubles,20,55,0.34528713007182904,0.07687365999327997,0.01667725651639995
pairwise_plus_zscore:VenusREM,random_doubles,50,55,0.3471282721182866,0.07454992020233628,0.03971607569072882
pairwise_plus_zscore:VenusREM,random_doubles,100,55,0.3529928103737013,0.07116603685756938,0.08055635063469078
pairwise_residual_from_doubles,informative_pair_coverage,20,55,0.34624595756941823,0.07962189947651892,0.030070261655646788
pairwise_residual_from_doubles,informative_pair_coverage,50,55,0.34564109391692893,0.0804835970206809,0.0710742292810186
pairwise_residual_from_doubles,informative_pair_coverage,100,55,0.34610454927830037,0.07857492525251501,0.12605872956048725
pairwise_residual_from_doubles,random_doubles,20,55,0.3403622736198586,0.07687365999327997,0.01667725651639995
pairwise_residual_from_doubles,random_doubles,50,55,0.3422034423083359,0.07454992020233628,0.03971607569072882
pairwise_residual_from_doubles,random_doubles,100,55,0.3480679788871573,0.07116603685756938,0.08055635063469078
