round,policy,metric,n,mean,ci95_low,ci95_high
5,additive_lookup,top1pct_found,84,0.47619047619047616,0.36904761904761907,0.5833333333333334
5,additive_plus_zscore:ProSST-2048,top1pct_found,84,0.5952380952380952,0.4880952380952381,0.7023809523809523
5,disagreement:additive_vs_ProSST-2048,top1pct_found,84,0.2619047619047619,0.16666666666666666,0.35714285714285715
5,diverse_ensemble:top_methods,top1pct_found,84,0.75,0.6547619047619048,0.8333333333333334
5,diverse_zscore:ESM3,top1pct_found,84,0.6309523809523809,0.5357142857142857,0.7380952380952381
5,ensemble_mean:top_methods,top1pct_found,84,0.6785714285714286,0.5714285714285714,0.7738095238095238
5,ensemble_ucb:top_methods,top1pct_found,84,0.7380952380952381,0.6428571428571429,0.8333333333333334
5,random,top1pct_found,84,0.5,0.39285714285714285,0.6071428571428571
5,zscore_linear:ESM3,top1pct_found,84,0.5952380952380952,0.47619047619047616,0.6904761904761905
5,zscore_linear:ProSST-2048,top1pct_found,84,0.5595238095238095,0.4523809523809524,0.6666666666666666
